Title,Creator,Identifier,Type,Image
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),Ann S. Marie,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1710684335/cover_images/spotify/1345048.jpg"
Cupcake and Murder (A Dana Sweet Cozy Mystery Boxed Set Books 1-10),,,audiobook,
Opening Gambit,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622810/cover_images/authors_republic/9798295359071.jpg"
Opening Gambit,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622810/cover_images/authors_republic/9798295359071.jpg"
Opening Gambit,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622810/cover_images/authors_republic/9798295359071.jpg"
Opening Gambit,,,audiobook,
Shadow Schemes,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622813/cover_images/authors_republic/9798295359095.jpg"
Shadow Schemes,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622813/cover_images/authors_republic/9798295359095.jpg"
Shadow Schemes,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622813/cover_images/authors_republic/9798295359095.jpg"
Shadow Schemes,,,audiobook,
Feint and Doublecross,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622817/cover_images/authors_republic/9798295359118.jpg"
Feint and Doublecross,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622817/cover_images/authors_republic/9798295359118.jpg"
Feint and Doublecross,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763622817/cover_images/authors_republic/9798295359118.jpg"
Feint and Doublecross,,,audiobook,
A Dangerous Ruse,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763705597/cover_images/authors_republic/9798295359958.jpg"
A Dangerous Ruse,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763705597/cover_images/authors_republic/9798295359958.jpg"
A Dangerous Ruse,Tilly Wallace,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1763705597/cover_images/authors_republic/9798295359958.jpg"
A Dangerous Ruse,,,audiobook,
Persepolis Rising,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684781933/cover_images/recorded_books/9781501965630.jpg"
Persepolis Rising,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684781933/cover_images/recorded_books/9781501965630.jpg"
Persepolis Rising,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684781933/cover_images/recorded_books/9781501965630.jpg"
Persepolis Rising,,,audiobook,
Leviathan Falls,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1734653095/cover_images/recorded_books/9781980035961.jpg"
Leviathan Falls,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1734653095/cover_images/recorded_books/9781980035961.jpg"
Leviathan Falls,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1734653095/cover_images/recorded_books/9781980035961.jpg"
Leviathan Falls,,,audiobook,
Tiamat's Wrath,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684793448/cover_images/recorded_books/9781980006527.jpg"
Tiamat's Wrath,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684793448/cover_images/recorded_books/9781980006527.jpg"
Tiamat's Wrath,James S. A. Corey,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1684793448/cover_images/recorded_books/9781980006527.jpg"
Tiamat's Wrath,,,audiobook,
Advent,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1738727899/cover_images/blackstone/9798874694722.jpg"
Advent,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1738727899/cover_images/blackstone/9798874694722.jpg"
Advent,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1738727899/cover_images/blackstone/9798874694722.jpg"
Advent,,,audiobook,
Dark Dawn,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1735588697/cover_images/blackstone/9798874694838.jpg"
Dark Dawn,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1735588697/cover_images/blackstone/9798874694838.jpg"
Dark Dawn,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1735588697/cover_images/blackstone/9798874694838.jpg"
Dark Dawn,,,audiobook,
Evolution,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1750096689/cover_images/blackstone/9798874695057.jpg"
Evolution,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1750096689/cover_images/blackstone/9798874695057.jpg"
Evolution,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1750096689/cover_images/blackstone/9798874695057.jpg"
Evolution,,,audiobook,
Apex,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1755028696/cover_images/blackstone/9798874694944.jpg"
Apex,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1755028696/cover_images/blackstone/9798874694944.jpg"
Apex,Seth Ring,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1755028696/cover_images/blackstone/9798874694944.jpg"
Apex,,,audiobook,
Let the Dead Keep Their Secrets,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685844726/cover_images/tantor/9781977381286.jpg"
Let the Dead Keep Their Secrets,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685844726/cover_images/tantor/9781977381286.jpg"
Let the Dead Keep Their Secrets,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685844726/cover_images/tantor/9781977381286.jpg"
Let the Dead Keep Their Secrets,,,audiobook,
What the Dead Leave Behind,Rosemary Simpson,,audiobook,"https://img.chirpbooks.com/image/upload/f_auto,q_auto:low,w_660,h_660/v1685776757/cover_images/tantor/9781541488946.jpg"
